"scientific.name","common.name","observed.on","location","listing.status","latitude","longitude","url","preserve","polygonloc","iconic.taxon.name","groups","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","image.url","license","count","checklist"
"Monotropa hypopitys","pinesap","2025-10-04","Yarmouth, ME, US",NA,43.82168439,-70.1549068421,"https://www.inaturalist.org/observations/318657617","Cousins River Fields &amp; Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monotropa hypopitys","pinesap","2025-10-04","Yarmouth, ME, US",NA,43.82168439,-70.1549068421,"https://www.inaturalist.org/observations/318657617","Cousins River Fields &amp; Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monotropa hypopitys","pinesap","2025-10-04","Yarmouth, ME, US",NA,43.82168439,-70.1549068421,"https://www.inaturalist.org/observations/318657617","Cousins River Fields &amp; Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monotropa hypopitys","pinesap","2025-10-04","Yarmouth, ME, US",NA,43.82168439,-70.1549068421,"https://www.inaturalist.org/observations/318657617","Cousins River Fields &amp; Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-11-15","Forbes Pond Preserve",NA,44.427715,-68.045843,"https://ebird.org/checklist/S284741095","Forbes Pond Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-11-30","Harriman Point Preserve (MCHT)",NA,44.2953397,-68.5351896,"https://ebird.org/checklist/S286796042","Harriman Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-12-06","Harriman Point Preserve (MCHT)",NA,44.2953397,-68.5351896,"https://ebird.org/checklist/S287520563","Harriman Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-12-11","Harriman Point Preserve (MCHT)",NA,44.2953397,-68.5351896,"https://ebird.org/checklist/S288170823","Harriman Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-12-30","Harriman Point Preserve (MCHT)",NA,44.2953397,-68.5351896,"https://ebird.org/checklist/S291247554","Harriman Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-12-20","Kittredge Brook Preserve Bluff Road access",NA,44.385039,-68.300129,"https://ebird.org/checklist/S289348066","Kittredge Brook Forest Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danaus plexippus","monarch","2025-09-23","Harpswell, ME, US",NA,43.7658083333,-70.0556195,"https://www.inaturalist.org/observations/316355828","Little Whaleboat Island Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-11-08","Cable Crossing Road, Southwest Harbor",NA,44.2564713,-68.2944961,"https://ebird.org/checklist/S283608221","Manset Fields","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
